Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,San Antonio Spurs,62-20,32-9,30-11,24-6,38-14,8-2,7-3,9-1,11-7,15-3,12-4,38-15,24-5,7-0,35-12,1-0,13-3,11-4,8-6,9-3,16-0,4-4
2,Oklahoma City Thunder,59-23,34-7,25-16,23-7,36-16,8-2,8-2,7-3,11-5,12-6,13-5,43-12,16-11,10-4,33-8,1-0,10-3,14-3,13-4,6-5,10-4,5-4
3,Los Angeles Clippers,57-25,34-7,23-18,21-9,36-16,9-1,7-3,5-5,12-6,12-4,12-6,37-18,20-7,4-3,30-9,1-1,11-4,9-7,12-4,7-4,13-2,4-3
4,Indiana Pacers,56-26,35-6,21-20,38-14,18-12,15-3,12-4,11-7,6-4,7-3,5-5,40-12,16-14,4-3,29-17,2-0,13-1,10-4,10-5,9-3,8-10,4-3
5,Houston Rockets,54-28,33-8,21-20,23-7,31-21,7-3,8-2,8-2,11-7,9-9,11-5,36-17,18-11,7-6,30-9,1-0,12-5,8-8,10-4,8-2,10-4,5-5
6,Miami Heat,54-28,32-9,22-19,34-18,20-10,9-9,13-5,12-4,6-4,8-2,6-4,37-14,17-14,8-7,29-10,1-1,12-2,11-4,8-6,9-1,10-8,3-6
7,Portland Trail Blazers,54-28,31-10,23-18,23-7,31-21,9-1,9-1,5-5,13-3,10-8,8-10,36-17,18-11,8-9,24-13,0-1,13-2,12-4,8-6,7-5,8-9,6-1
8,Golden State Warriors,51-31,27-14,24-17,20-10,31-21,7-3,7-3,6-4,11-7,11-5,9-9,31-22,20-9,11-8,28-9,1-1,8-7,11-5,9-6,7-4,9-5,6-3
9,Memphis Grizzlies,50-32,27-14,23-18,21-9,29-23,6-4,7-3,8-2,11-7,14-4,4-12,29-23,21-9,10-4,18-13,0-1,8-7,5-9,12-3,7-5,12-5,6-2
10,Dallas Mavericks,49-33,26-15,23-18,20-10,29-23,5-5,9-1,6-4,10-8,10-8,9-7,32-22,17-11,11-11,23-10,1-0,9-8,8-5,9-8,9-3,8-6,5-3
11,Chicago Bulls,48-34,27-14,21-20,35-17,13-17,12-6,11-5,12-6,3-7,6-4,4-6,27-25,21-9,6-5,27-19,1-1,6-7,5-10,11-4,9-4,10-6,6-2
12,Toronto Raptors,48-34,26-15,22-19,32-20,16-14,11-5,13-5,8-10,6-4,3-7,7-3,28-24,20-10,3-8,24-6,1-0,5-9,8-6,11-6,7-5,10-6,6-2
13,Phoenix Suns,48-34,26-15,22-19,20-10,28-24,7-3,6-4,7-3,13-5,8-8,7-11,30-21,18-13,2-9,19-7,1-0,8-8,10-3,9-7,6-6,10-6,4-4
14,Brooklyn Nets,44-38,28-13,16-25,26-26,18-12,9-7,7-11,10-8,5-5,6-4,7-3,24-27,20-11,8-3,17-20,0-1,5-11,5-9,10-3,7-5,12-4,5-5
15,Washington Wizards,44-38,22-19,22-19,33-19,11-19,13-5,10-8,10-6,4-6,5-5,2-8,25-27,19-11,5-9,19-14,0-1,8-8,6-5,8-9,8-5,8-8,6-2
16,Charlotte Bobcats,43-39,25-16,18-23,30-22,13-17,11-7,13-5,6-10,4-6,6-4,3-7,23-30,20-9,8-8,18-19,0-1,8-8,6-9,7-9,6-4,9-7,7-1
17,Minnesota Timberwolves,40-42,24-17,16-25,17-13,23-29,5-5,7-3,5-5,7-9,7-11,9-9,25-28,15-14,5-6,26-18,1-0,8-9,6-7,8-7,5-6,8-8,4-5
18,Atlanta Hawks,38-44,24-17,14-27,28-24,10-20,10-8,10-8,8-8,4-6,4-6,2-8,25-26,13-18,8-9,15-16,0-1,9-8,9-5,6-7,2-10,6-10,6-3
19,New York Knicks,37-45,19-22,18-23,26-26,11-19,10-6,9-9,7-11,4-6,4-6,3-7,20-32,17-13,3-8,19-22,1-1,2-11,6-9,10-6,2-11,11-5,5-2
20,Denver Nuggets,36-46,22-19,14-27,16-14,20-32,5-5,5-5,6-4,5-11,8-10,7-11,24-27,12-19,8-5,16-24,0-1,9-5,5-10,8-7,3-9,7-10,4-4
21,New Orleans Pelicans,34-48,22-19,12-29,19-11,15-37,6-4,8-2,5-5,7-11,4-14,4-12,23-29,11-19,7-8,10-21,0-1,7-7,7-7,5-11,4-9,9-7,2-6
22,Cleveland Cavaliers,33-49,19-22,14-27,21-31,12-18,8-10,7-9,6-12,6-4,5-5,1-9,20-33,13-16,7-5,13-27,1-0,4-12,5-9,6-9,8-6,6-9,3-4
23,Detroit Pistons,29-53,17-24,12-29,23-29,6-24,11-7,6-10,6-12,2-8,3-7,1-9,22-30,7-23,2-6,16-25,1-0,5-10,8-9,4-8,5-8,4-12,2-6
24,Sacramento Kings,28-54,17-24,11-30,13-17,15-37,5-5,4-6,4-6,6-12,3-13,6-12,18-35,10-19,4-9,12-26,1-0,3-10,6-10,5-11,5-7,6-10,2-6
25,Los Angeles Lakers,27-55,14-27,13-28,12-18,15-37,6-4,3-7,3-7,5-13,6-10,4-14,18-35,9-20,5-5,12-33,1-1,8-7,4-11,3-12,4-8,5-9,2-7
26,Boston Celtics,25-57,16-25,9-32,21-31,4-26,5-11,6-12,10-8,3-7,1-9,0-10,19-35,6-22,5-9,9-23,0-1,7-11,6-6,2-15,5-6,3-12,2-6
27,Utah Jazz,25-57,16-25,9-32,12-18,13-39,3-7,3-7,6-4,4-12,6-12,3-15,19-33,6-24,5-4,9-39,0-1,3-14,7-9,6-6,5-7,2-15,2-5
28,Orlando Magic,23-59,19-22,4-37,17-35,6-24,7-11,6-12,4-12,3-7,2-8,1-9,16-38,7-21,5-7,10-30,0-2,6-8,4-11,3-14,5-7,3-11,2-6
29,Philadelphia 76ers,19-63,10-31,9-32,14-38,5-25,5-11,4-14,5-13,2-8,2-8,1-9,15-39,4-24,6-3,4-46,1-0,5-11,3-10,6-11,0-11,1-15,3-5
30,Milwaukee Bucks,15-67,10-31,5-36,12-40,3-27,5-13,4-12,3-15,1-9,2-8,0-10,9-43,6-24,4-5,4-33,0-1,3-12,4-11,1-14,3-8,3-14,1-7